PHYS_ACT_PHRASE,Category,METs,calPerHour_METxWtInKGxTimeInHrs
packing clothes,9,2.3,185.61
packing day,9,2.3,185.61
packing done,9,2.3,185.61
packing everything up,9,2.3,185.61
packing for,9,2.3,185.61
packing for cali,9,2.3,185.61
packing for california,9,2.3,185.61
packing for camp,9,2.3,185.61
packing for chicago,9,2.3,185.61
packing for college,9,2.3,185.61
packing for florida,9,2.3,185.61
packing for home,9,2.3,185.61
packing for la,9,2.3,185.61
packing for miami,9,2.3,185.61
packing for my trip,9,2.3,185.61
packing for my trip to,9,2.3,185.61
packing for new york,9,2.3,185.61
packing for ny,9,2.3,185.61
packing for nyc,9,2.3,185.61
packing for school,9,2.3,185.61
packing for this weekend,9,2.3,185.61
packing for tomorrow,9,2.3,185.61
packing has begun,9,2.3,185.61
packing is a bitch,9,2.3,185.61
packing light,9,2.3,185.61
packing my,9,2.3,185.61
packing my bag,9,2.3,185.61
packing my bag for,9,2.3,185.61
packing my bags,9,2.3,185.61
packing my bags for,9,2.3,185.61
packing my clothes,9,2.3,185.61
packing my room up,9,2.3,185.61
packing my shit,9,2.3,185.61
packing my shit and leaving,9,2.3,185.61
packing my stuff,9,2.3,185.61
packing my stuff up,9,2.3,185.61
packing my things,9,2.3,185.61
packing packing,9,2.3,185.61
packing packing packing,9,2.3,185.61
packing party,9,2.3,185.61
packing process,9,2.3,185.61
packing right now,9,2.3,185.61
packing shit,9,2.3,185.61
packing time,9,2.3,185.61
packing today,9,2.3,185.61
packing tomorrow,9,2.3,185.61
packing tonight,9,2.3,185.61
packing ugh,9,2.3,185.61
packing up,9,2.3,185.61
packing up all my stuff,9,2.3,185.61
packing up and getting ready to,9,2.3,185.61
packing up and heading,9,2.3,185.61
packing up and leaving,9,2.3,185.61
packing up and moving to,9,2.3,185.61
packing up for,9,2.3,185.61
packing up more stuff,9,2.3,185.61
packing up my,9,2.3,185.61
packing up my apartment,9,2.3,185.61
packing up my room,9,2.3,185.61
packing up my stuff,9,2.3,185.61
packing up now,9,2.3,185.61
packing up the apartment,9,2.3,185.61
packing up to go home,9,2.3,185.61
packing up to head back,9,2.3,185.61
packing up to leave,9,2.3,185.61
packing up to move,9,2.3,185.61
packingg,9,2.3,185.61
packinggg,9,2.3,185.61
packingggg,9,2.3,185.61
packinggggg,9,2.3,185.61
packinn,9,2.3,185.61
packkk,9,2.3,185.61
packkkk,9,2.3,185.61
paddle boarding,39,6,484.2
paddle boating,39,4,322.8
pages of reading,25,1.5,121.05
pages to read,25,1.5,121.05
paint my room,20,3.3,266.31
paint my room,20,1.8,145.26
paint my room pink,20,3.3,266.31
paint my toenails,34,1.3,104.91
paint shopping,13,2.3,185.61
painted my room,20,3.3,266.31
painting class,15,1.8,145.26
painting my room,20,3.3,266.31
painting party,15,1.8,145.26
pandora while i clean,9,3.3,266.31
pants shopping,13,2.3,185.61
paper writing,25,1.5,121.05
paper writing time,25,1.5,121.05
parasailing,39,1.3,104.91
peaceful walk,37,2,161.4
pedi,34,1.3,104.91
pedi and,34,1.3,104.91
pedi and mani,34,1.3,104.91
pedi day,34,1.3,104.91
pedi flow,34,1.3,104.91
pedi time,34,1.3,104.91
pedi today,34,1.3,104.91
pedi tomorrow,34,1.3,104.91
pedi w,34,1.3,104.91
pedi with,34,1.3,104.91
pedi with mom,34,1.3,104.91
pedicure,34,1.3,104.91
pedicure and,34,1.3,104.91
pedicure and manicure,34,1.3,104.91
pedicure asap,34,1.3,104.91
pedicure chair,34,1.3,104.91
pedicure done,34,1.3,104.91
pedicure ever,34,1.3,104.91
pedicure http,34,1.3,104.91
pedicure right now,34,1.3,104.91
pedicure time,34,1.3,104.91
pedicure today,34,1.3,104.91
pedicure tomorrow,34,1.3,104.91
pedicure too,34,1.3,104.91
pedicure w,34,1.3,104.91
pedicure with,34,1.3,104.91
pedicure with mom,34,1.3,104.91
pedicure with mommy,34,1.3,104.91
pedicures http,34,1.3,104.91
pedicures with mom,34,1.3,104.91
perfect morning for a run,33,11.8,952.26
perfect night for a run,33,11.8,952.26
perfect running weather,33,11.8,952.26
perfect weather for a run,33,11.8,952.26
perfectly clean,9,3.3,266.31
perm in my hair,34,1.3,104.91
permed my hair,34,2.5,201.75
perming my hair,34,1.3,104.91
person on the phone,25,1.5,121.05
person sitting across,22,1.3,104.91
petting my dog,18,1.3,104.91
pheasant hunting,8,6,484.2
photo walk,37,3.5,282.45
photowalk,37,3.5,282.45
picked a whole bouquet of,19,3.5,282.45
picking apples,19,3.5,282.45
picking flowers,19,3.5,282.45
picking pumpkins,19,3.5,282.45
picking wildflowers,19,3.5,282.45
pie eating,35,1.5,121.05
pie eating contest,35,1.5,121.05
place to eat,35,1.5,121.05
place to eat at,35,1.5,121.05
place to eat in,35,1.5,121.05
place to watch the,16,1.3,104.91
place to watch the game,16,1.3,104.91
places to eat,35,1.5,121.05
plan on eating,35,1.5,121.05
plan on watching it,16,1.3,104.91
plant corn,19,4.3,347.01
plant flowers,19,4.3,347.01
planting,19,4.3,347.01
planting flowers,19,4.3,347.01
planting seeds,19,4.3,347.01
planting trees,19,4.5,363.15
play angry birds,27,1,80.7
play basketball at,36,6.5,524.55
play basketball today,36,6.5,524.55
play black,27,1,80.7
play black jack,26,1.5,121.05
play black opps,27,1,80.7
play black ops,27,1,80.7
play call of duty,27,1,80.7
play cards,26,1.5,121.05
play chess,26,1.5,121.05
play cod,27,1,80.7
play cod all night,27,1,80.7
play cod lol,27,1,80.7
play cod with,27,1,80.7
play cod with me,27,1,80.7
play draw something with,27,1,80.7
play draw something with,27,1,80.7
play draw something with me,27,1,80.7
play drums,32,3.8,306.66
play fifa,27,1,80.7
play football at,36,8,645.6
play football today,36,8,645.6
play football tomorrow,36,8,645.6
play fun run,27,1,80.7
play fun run with,27,1,80.7
play games on my,27,1,80.7
play games on my phone,27,1,80.7
play golf,36,4.8,387.36
play golf today,36,4.8,387.36
play golf tomorrow,36,4.8,387.36
play guitar,32,2,161.4
play guitar and sing,32,2,161.4
play guitar hero,28,3.8,306.66
play halo,27,1,80.7
play madden,27,1,80.7
play me back in,27,1,80.7
play me back in draw something,27,1,80.7
play me back in words,27,1,80.7
play me in #drawsomething,27,1,80.7
play me in draw,27,1,80.7
play me in draw something,15,1.8,145.26
play me in fifa,27,1,80.7
play me in fun run,27,1,80.7
play me in madden,27,1,80.7
play me in ruzzle,27,1,80.7
play me in ruzzle lol,27,1,80.7
play me in scramble,27,1,80.7
play me in words,27,1,80.7
play me in words with friends,27,1,80.7
play me on draw,15,1.8,145.26
play me on draw something,27,1,80.7
play me on fun run,27,1,80.7
play me on ruzzle,27,1,80.7
play me on words with friends,27,1,80.7
play me online,27,1,80.7
play mw,27,1,80.7
play on ps,27,1,80.7
play on the computer,27,1,80.7
play on the guitar,32,2,161.4
play on the ps,27,1,80.7
play on xbox,27,1,80.7
play online,27,1,80.7
play pokemon,27,1,80.7
play poker,26,1.5,121.05
play ps,27,1,80.7
play skyrim,27,1,80.7
play some basketball,36,6.5,524.55
play some basketball,36,6.5,524.55
play some black ops,27,1,80.7
play some call of duty,27,1,80.7
play some cod,27,1,80.7
play some fifa,27,1,80.7
play some football,36,8,645.6
play some golf,36,4.8,387.36
play some halo,27,1,80.7
play some madden,27,1,80.7
play some mw,27,1,80.7
play some poker,26,1.5,121.05
play some ps,27,1,80.7
play some video games,27,1,80.7
play some xbox,27,1,80.7
play some zombies,27,1,80.7
play spades,26,1.5,121.05
play temple run,27,1,80.7
play the drums,32,3.8,306.66
play the guitar,32,2,161.4
play the guitar and,32,2,161.4
play the sims,27,1,80.7
play the violin,32,2.5,201.75
play the wii,27,1,80.7
play video games,27,1,80.7
play with my dog,18,3,242.1
play words,27,1,80.7
play words with,27,1,80.7
play words with friends,27,1,80.7
play xbox,27,1,80.7
play xbox all day,27,1,80.7
play xbox all night,27,1,80.7
play xbox or ps,27,1,80.7
play xbox with,27,1,80.7
play xbox with me,27,1,80.7
play xbox with you,27,1,80.7
play zombies,27,1,80.7
play zombies with,27,1,80.7
play zombies with me,27,1,80.7
played basketball in,36,6.5,524.55
played basketball today,36,6.5,524.55
played black ops,27,1,80.7
played cards,26,1.5,121.05
played cod,27,1,80.7
played cod for,27,1,80.7
played fifa,27,1,80.7
played football today,36,8,645.6
played golf,36,4.8,387.36
played golf today,36,4.8,387.36
played guitar,32,2,161.4
played halo,27,1,80.7
played madden,27,1,80.7
played monopoly,26,1.5,121.05
played mw,27,1,80.7
played poker,26,1.5,121.05
played ps,27,1,80.7
played some football,36,8,645.6
played temple run,27,1,80.7
played temple run for the first time,27,1,80.7
played tf out,27,1,80.7
played the wii,27,1,80.7
played video games,27,1,80.7
playin basketball,36,6.5,524.55
playin cards,26,1.5,121.05
playin football,36,8,645.6
playin video games,27,1,80.7
playing #blackops,27,1,80.7
playing #songpop,27,1,80.7
playing a game on my phone,27,1,80.7
playing a guitar,32,2,161.4
playing angry birds,27,1,80.7
playing apples to apples,26,1.5,121.05
playing apples to apples with,26,1.5,121.05
playing basketball,36,6.5,524.55
playing basketball again,36,6.5,524.55
playing basketball and,36,6.5,524.55
playing basketball at,36,6.5,524.55
playing basketball in,36,6.5,524.55
playing basketball lol,36,6.5,524.55
playing basketball today,36,6.5,524.55
playing batman,27,1,80.7
playing battlefield,27,1,80.7
playing bf,27,1,80.7
playing bingo,26,1.5,121.05
playing black,27,1,80.7
playing black jack,26,1.5,121.05
playing black opps,27,1,80.7
playing black ops,27,1,80.7
playing blackops,27,1,80.7
playing board games,26,1.5,121.05
playing borderlands,27,1,80.7
playing call,27,1,80.7
playing call of,27,1,80.7
playing call of duty,27,1,80.7
playing cards,26,1.5,121.05
playing cards against humanity with,26,1.5,121.05
playing cards with,26,1.5,121.05
playing checkers,26,1.5,121.05
playing chess,26,1.5,121.05
playing cod,27,1,80.7
playing cod all night,27,1,80.7
playing cod black ops,27,1,80.7
playing cod mw,27,1,80.7
playing cod with,27,1,80.7
playing dance central,28,3.8,306.66
playing dance central with,28,3.8,306.66
playing darts,36,2.5,201.75
playing dead island,27,1,80.7
playing dead space,27,1,80.7
playing diablo,27,1,80.7
playing dodgeball,36,5.8,468.06
playing dominoes,26,1.5,121.05
playing dominos,26,1.5,121.05
playing draw something,15,1.8,145.26
playing draw something with,27,1,80.7
playing draw something with my,27,1,80.7
playing drums,32,3.8,306.66
playing football,36,8,645.6
playing football at,36,8,645.6
playing football right now,36,8,645.6
playing football tomorrow,36,8,645.6
playing frisbee,36,3,242.1
playing fruit ninja,27,1,80.7
playing fun run,27,1,80.7
playing games on my,27,1,80.7
playing games on my phone,27,1,80.7
playing gears of war,27,1,80.7
playing golf,36,4.8,387.36
playing golf at,36,4.8,387.36
playing golf in,36,4.8,387.36
playing golf today,36,4.8,387.36
playing golf tomorrow,36,4.8,387.36
playing golf with,36,4.8,387.36
playing grand theft auto,27,1,80.7
playing gta,27,1,80.7
playing gta iv,27,1,80.7
playing guitar,32,2,161.4
playing guitar and singing,32,2,161.4
playing guitar for,32,2,161.4
playing guitar hero,28,3.8,306.66
playing halo,27,1,80.7
playing halo reach,27,1,80.7
playing jason,27,1,80.7
playing kings,26,1.5,121.05
playing madden,27,1,80.7
playing madden and,27,1,80.7
playing magic,26,1.5,121.05
playing mario,27,1,80.7
playing mario cart,27,1,80.7
playing mario kart,27,1,80.7
playing mario kart with my,27,1,80.7
playing mario party,27,1,80.7
playing minecraft,27,1,80.7
playing monopoly,26,1.5,121.05
playing mortal kombat,27,1,80.7
playing mw,27,1,80.7
playing ncaa,27,1,80.7
playing ncaa football,27,1,80.7
playing nhl,27,1,80.7
playing nintendo,27,1,80.7
playing on my ipad,27,1,80.7
playing on my iphone,27,1,80.7
playing on the ipad,27,1,80.7
playing on the phone,25,1.5,121.05
playing online,27,1,80.7
playing pokemon,27,1,80.7
playing poker,26,1.5,121.05
playing poker at,26,1.5,121.05
playing poker with,26,1.5,121.05
playing pong,27,1,80.7
playing red dead redemption,27,1,80.7
playing rock band,28,3.8,306.66
playing ruzzle,27,1,80.7
playing scrabble,26,1.5,121.05
playing sims,27,1,80.7
playing skyrim,27,1,80.7
playing solitaire,27,1,80.7
playing some basketball,36,6.5,524.55
playing some black ops,27,1,80.7
playing some cod,27,1,80.7
playing some fifa,27,1,80.7
playing some football,36,8,645.6
playing some halo,27,1,80.7
playing some madden,27,1,80.7
playing some mw,27,1,80.7
playing some nba,27,1,80.7
playing some nhl,27,1,80.7
playing some video games,27,1,80.7
playing some xbox,27,1,80.7
playing some zombies,27,1,80.7
playing spades,26,1.5,121.05
playing super mario,27,1,80.7
playing super mario bros,27,1,80.7
playing super smash bros,27,1,80.7
playing taboo,26,1.5,121.05
playing temple,27,1,80.7
playing temple run,27,1,80.7
playing tetris,27,1,80.7
playing the drums,32,3.8,306.66
playing the flute,32,2,161.4
playing the game of life,27,1,80.7
playing the guitar,32,2,161.4
playing the kinect,27,1,80.7
playing the ps,27,1,80.7
playing the sims,27,1,80.7
playing the wii,27,1,80.7
playing the wii with,27,1,80.7
playing the wii with my,27,1,80.7
playing the xbox,27,1,80.7
playing uno,26,1.5,121.05
playing uno with the fam,26,1.5,121.05
playing video game,27,1,80.7
playing video games,27,1,80.7
playing wii,27,1,80.7
playing wii games,27,1,80.7
playing with my cat,18,3.5,282.45
playing with my dog,18,3,242.1
playing with my nephew,17,3.5,282.45
playing with my niece,17,3.5,282.45
playing words,27,1,80.7
playing words with,27,1,80.7
playing words with friends,27,1,80.7
playing words with friends with,27,1,80.7
playing wow,27,1,80.7
playing wwe,27,1,80.7
playing xbox,27,1,80.7
playing xbox all day,27,1,80.7
playing xbox is a,27,1,80.7
playing xbox right now,27,1,80.7
playing xbox with,27,1,80.7
playing zombies,27,1,80.7
playing zombies with,27,1,80.7
pleasant run,33,11.8,952.26
please read this,25,1.5,121.05
pole dance,7,7.8,629.46
pole dancin,7,7.8,629.46
pole dancing,7,7.8,629.46
pole dancing class,7,7.8,629.46
pole dancing classes,7,7.8,629.46
pole dancing for jesus,7,7.8,629.46
pole dancing lessons,7,7.8,629.46
polished my nails,34,2,161.4
polishing my nails,34,2,161.4
porch sitting,22,1.3,104.91
post run,33,11.8,952.26
post run brunch,33,11.8,952.26
post run meal,33,11.8,952.26
post run snack,33,11.8,952.26
post-run,33,11.8,952.26
power lifting,4,6,484.2
power shopping,13,2.3,185.61
power shower,34,2,161.4
power walk,37,7,564.9
power walk on,37,7,564.9
power walked,37,7,564.9
power walking,37,7,564.9
power yoga,6,4,322.8
power yoga class,6,4,322.8
power yoga time,6,4,322.8
practice yoga,6,2.5,201.75
praise dance,7,7.8,629.46
praise dancing,7,7.8,629.46
prayer walk,37,3.5,282.45
precor elliptical machine,2,5,403.5
prenatal yoga,6,2.5,201.75
preparing for church,40,1.8,145.26
present shopping,13,2.3,185.61
present wrapping,15,1.3,104.91
pretend i didn't read that,25,1.5,121.05
probably eat,35,1.5,121.05
process of doing my hair,34,2.5,201.75
process of dying my hair,34,2.5,201.75
process of getting my hair done,34,1.3,104.91
process of writing,25,1.5,121.05
prom dress shopping,13,2.3,185.61
prom shopping,13,2.3,185.61
proof read,25,1.5,121.05
proof read my tweets,25,1.5,121.05
proof reading,25,1.5,121.05
proof reading my tweets,25,1.5,121.05
proofread,25,1.5,121.05
proofread it,25,1.5,121.05
proofread my tweets,25,1.5,121.05
proofreading,25,1.5,121.05
proofreading my tweets,25,1.5,121.05
pull ups,3,3.5,282.45
pull weeds,19,4.5,363.15
pulling weeds,19,4.5,363.15
pullups,3,3.5,282.45
pump gas,9,2,161.4
pumped gas,9,2,161.4
pumped gas for the first time,9,2,161.4
pumpin gas,9,2,161.4
pumping gas,9,2,161.4
pumping gas in,9,2,161.4
pumping my gas,9,2,161.4
pumping my own gas,9,2,161.4
pumpkin pickin,19,3.5,282.45
pumpkin picking,19,3.5,282.45
pumpkin picking with,19,3.5,282.45
pumpkin run,33,11.8,952.26
pumpkin shopping,13,2.3,185.61
puppy shopping,13,2.3,185.61
purse shopping,13,2.3,185.61
push up time,3,3.5,282.45
push ups,3,3.5,282.45
pushing a stroller,37,4,322.8
pushup,3,3.5,282.45
pushups,3,3.5,282.45
pushups and,3,3.5,282.45
pushups and crunches,3,3.5,282.45
pushups and crunches,3,3.5,282.45
pushups and situps,3,3.5,282.45
pushups and situps,3,3.5,282.45
pushups in,3,3.5,282.45
pushups lol,3,3.5,282.45
pushups performed in one,3,3.5,282.45
put away laundry,9,2.3,185.61
put my hair,34,2.5,201.75
put my hair in,34,2.5,201.75
put my hair in a,34,2.5,201.75
put my hair in a bun,34,2.5,201.75
put my hair in a ponytail,34,2.5,201.75
put my hair up,34,2.5,201.75
put on makeup,34,2,161.4
put the shower,34,2,161.4
putting away groceries,12,2.5,201.75
putting away laundry,9,2.3,185.61
putting groceries away,12,2.5,201.75
putting laundry away,9,2.3,185.61
putting makeup on,34,2,161.4
putting my hair up,34,2.5,201.75
putting up groceries,12,2.5,201.75
qet my hair done,34,1.3,104.91
quick bit to eat,35,1.5,121.05
quick bite to eat,35,1.5,121.05
quick bite to eat before,35,1.5,121.05
quick grocery run,12,2.3,185.61
quick mani,34,1.3,104.91
quick read,25,1.5,121.05
quick run,33,11.8,952.26
quick run before,33,11.8,952.26
quick run in,33,11.8,952.26
quick shopping,13,2.3,185.61
quick shopping trip,13,2.3,185.61
quick shower,34,2,161.4
quick shower then off,34,2,161.4
quick swim,39,5.3,427.71
quick walk,37,3.5,282.45
quiet on the phone,25,1.5,121.05
quit eating,35,1.5,121.05
race walking,37,8.3,669.81
rafting,39,5,403.5
rake leaves,19,3.8,306.66
rake the leaves,19,3.8,306.66
raked,19,3.8,306.66
raking,19,3.8,306.66
raking leaves,19,3.8,306.66
ran a half marathon,33,11.8,952.26
ran a mile,33,11.8,952.26
ran a mile and,33,11.8,952.26
ran a mile and a half,33,11.8,952.26
ran a mile in,33,11.8,952.26
ran a mile today,33,11.8,952.26
ran a total of,33,11.8,952.26
ran an,33,11.8,952.26
ran another,33,11.8,952.26
ran downstairs,33,8.8,710.16
ran four miles,33,11.8,952.26
ran today,33,11.8,952.26
ran two miles,33,11.8,952.26
ran up the stairs,33,8.8,710.16
random dancing,7,7.8,629.46
rather cuddle and watch a,16,1.3,104.91
rather eat,35,1.5,121.05
rather talk on the phone,25,1.5,121.05
rather talk on the phone then text,25,1.5,121.05
rather watch a,16,1.3,104.91
rdy to eat,35,1.5,121.05
re dye my hair,34,2.5,201.75
re read,25,1.5,121.05
re reading,25,1.5,121.05
re reading the last one,25,1.5,121.05
re reading this,25,1.5,121.05
re watch it,16,1.3,104.91
re watching,16,1.3,104.91
re-dye my hair,34,2.5,201.75
re-read it,25,1.5,121.05
re-read our old,25,1.5,121.05
re-read the,25,1.5,121.05
re-reading,25,1.5,121.05
re-reading old messages,25,1.5,121.05
re-reading your last one,25,1.5,121.05
re-watching,16,1.3,104.91
read a,25,1.5,121.05
read a bible chapter,25,1.5,121.05
read a bit,25,1.5,121.05
read a bunch,25,1.5,121.05
read a chapter,25,1.5,121.05
read a chapter of,25,1.5,121.05
read a few,25,1.5,121.05
read a few pages,25,1.5,121.05
read a letter,25,1.5,121.05
read a little,25,1.5,121.05
read a lot,25,1.5,121.05
read a newspaper,25,1.5,121.05
read a story,25,1.5,121.05
read a tweet,25,1.5,121.05
read a tweet and,25,1.5,121.05
read a tweet that,25,1.5,121.05
read a tweet that said,25,1.5,121.05
read a whole book,25,1.5,121.05
read about,25,1.5,121.05
read about all,25,1.5,121.05
read about how,25,1.5,121.05
read about it in,25,1.5,121.05
read about that,25,1.5,121.05
read about the,25,1.5,121.05
read about them,25,1.5,121.05
read about this,25,1.5,121.05
read all about,25,1.5,121.05
read all about it,25,1.5,121.05
read all about it here,25,1.5,121.05
read all day,25,1.5,121.05
read all night,25,1.5,121.05
read all of it,25,1.5,121.05
read all of them,25,1.5,121.05
read all of your tweets,25,1.5,121.05
read all that,25,1.5,121.05
read all the,25,1.5,121.05
read all the books,25,1.5,121.05
read all the harry potter books,25,1.5,121.05
read all the tweets,25,1.5,121.05
read all those tweets,25,1.5,121.05
read all your tweets,25,1.5,121.05
read alot,25,1.5,121.05
read aloud,25,1.5,121.05
read an,25,1.5,121.05
read an article,25,1.5,121.05
read an article about,25,1.5,121.05
read an entire book,25,1.5,121.05
read another,25,1.5,121.05
read any,25,1.5,121.05
read any of,25,1.5,121.05
read article,25,1.5,121.05
read before bed,25,1.5,121.05
read book,25,1.5,121.05
read books,25,1.5,121.05
read both,25,1.5,121.05
read caption,25,1.5,121.05
read caption http,25,1.5,121.05
read chapter,25,1.5,121.05
read comics,25,1.5,121.05
read dat,25,1.5,121.05
read dis,25,1.5,121.05
read each,25,1.5,121.05
read every,25,1.5,121.05
read every harry potter,25,1.5,121.05
read every harry potter book to,25,1.5,121.05
read every single one,25,1.5,121.05
read every tweet,25,1.5,121.05
read everything,25,1.5,121.05
read fifty shades,25,1.5,121.05
read harry potter,25,1.5,121.05
read her,25,1.5,121.05
read her bio,25,1.5,121.05
read her book,25,1.5,121.05
read her tweets,25,1.5,121.05
read his,25,1.5,121.05
read his bio,25,1.5,121.05
read his book,25,1.5,121.05
read his story,25,1.5,121.05
read his tweets,25,1.5,121.05
read hunger games,25,1.5,121.05
read it again,25,1.5,121.05
read it already,25,1.5,121.05
read it and,25,1.5,121.05
read it and was,25,1.5,121.05
read it and was like,25,1.5,121.05
read it before,25,1.5,121.05
read it but,25,1.5,121.05
read it first,25,1.5,121.05
read it haha,25,1.5,121.05
read it here,25,1.5,121.05
read it http,25,1.5,121.05
read it in a book,25,1.5,121.05
read it in a magazine,25,1.5,121.05
read it later,25,1.5,121.05
read it now,25,1.5,121.05
read it online,25,1.5,121.05
read it over,25,1.5,121.05
read it then,25,1.5,121.05
read it though,25,1.5,121.05
read it today,25,1.5,121.05
read it tomorrow,25,1.5,121.05
read it too,25,1.5,121.05
read it too fast,25,1.5,121.05
read it twice,25,1.5,121.05
read john,25,1.5,121.05
read later,25,1.5,121.05
read more about,25,1.5,121.05
read more at,25,1.5,121.05
read more books,25,1.5,121.05
read more here,25,1.5,121.05
read more http,25,1.5,121.05
read music,25,1.5,121.05
read my bible,25,1.5,121.05
read my blog,25,1.5,121.05
read my book,25,1.5,121.05
read my book and,25,1.5,121.05
read my books,25,1.5,121.05
read my diary,25,1.5,121.05
read my dm,25,1.5,121.05
read my last,25,1.5,121.05
read my last few tweets,25,1.5,121.05
read my last retweet,25,1.5,121.05
read my last rt,25,1.5,121.05
read my last tweets,25,1.5,121.05
read my last two tweets,25,1.5,121.05
read my letter,25,1.5,121.05
read my message and,25,1.5,121.05
read my other tweet,25,1.5,121.05
read my paper,25,1.5,121.05
read my post,25,1.5,121.05
read my previous tweets,25,1.5,121.05
read my response to,25,1.5,121.05
read my shit,25,1.5,121.05
read my summer reading book,25,1.5,121.05
read my summer reading book,25,1.5,121.05
read my tweet,25,1.5,121.05
read my tweets and,25,1.5,121.05
read my twitter,25,1.5,121.05
read my twitter feed,25,1.5,121.05
read my word,25,1.5,121.05
read next,25,1.5,121.05
read next tweet,25,1.5,121.05
read online,25,1.5,121.05
read option,25,1.5,121.05
read our,25,1.5,121.05
read our tweets,25,1.5,121.05
read over,25,1.5,121.05
read peoples tweets,25,1.5,121.05
read psalm,25,1.5,121.05
read receipt,25,1.5,121.05
read romans,25,1.5,121.05
read some,25,1.5,121.05
read some books,25,1.5,121.05
read some more,25,1.5,121.05
read some more of,25,1.5,121.05
read some of,25,1.5,121.05
read some of it,25,1.5,121.05
read some of your tweets,25,1.5,121.05
read some tweets,25,1.5,121.05
read something,25,1.5,121.05
read something that said,25,1.5,121.05
read somewhere,25,1.5,121.05
read story,25,1.5,121.05
read that again,25,1.5,121.05
read that and thought,25,1.5,121.05
read that and was like,25,1.5,121.05
read that article,25,1.5,121.05
read that book,25,1.5,121.05
read that crap,25,1.5,121.05
read that dm,25,1.5,121.05
read that haha,25,1.5,121.05
read that ish,25,1.5,121.05
read that last tweet,25,1.5,121.05
read that like,25,1.5,121.05
read that lol,25,1.5,121.05
read that message,25,1.5,121.05
read that one,25,1.5,121.05
read that story,25,1.5,121.05
read that too,25,1.5,121.05
read that tweet,25,1.5,121.05
read that tweet again,25,1.5,121.05
read that tweet and,25,1.5,121.05
read that twice,25,1.5,121.05
read the article,25,1.5,121.05
read the article about,25,1.5,121.05
read the article on,25,1.5,121.05
read the bible and,25,1.5,121.05
read the bible in a year,25,1.5,121.05
read the bio,25,1.5,121.05
read the blog,25,1.5,121.05
read the book,25,1.5,121.05
read the books,25,1.5,121.05
read the books first,25,1.5,121.05
read the caption,25,1.5,121.05
read the caption http,25,1.5,121.05
read the chapter,25,1.5,121.05
read the comics,25,1.5,121.05
read the comments on,25,1.5,121.05
read the constitution,25,1.5,121.05
read the conversation,25,1.5,121.05
read the convo,25,1.5,121.05
read the details first,25,1.5,121.05
read the directions,25,1.5,121.05
read the email,25,1.5,121.05
read the first,25,1.5,121.05
read the first one,25,1.5,121.05
read the grand jury report,25,1.5,121.05
read the great gatsby,25,1.5,121.05
read the harry potter books,25,1.5,121.05
read the help,25,1.5,121.05
read the hobbit,25,1.5,121.05
read the hunger games,25,1.5,121.05
read the instruc,25,1.5,121.05
read the instructions,25,1.5,121.05
read the last,25,1.5,121.05
read the last tweet,25,1.5,121.05
read the link,25,1.5,121.05
read the lucky one,25,1.5,121.05
read the lyrics,25,1.5,121.05
read the manual,25,1.5,121.05
read the menu,25,1.5,121.05
read the name,25,1.5,121.05
read the news,25,1.5,121.05
read the news today,25,1.5,121.05
read the next,25,1.5,121.05
read the next one,25,1.5,121.05
read the note,25,1.5,121.05
read the number,25,1.5,121.05
read the other,25,1.5,121.05
read the paper,25,1.5,121.05
read the post,25,1.5,121.05
read the report,25,1.5,121.05
read the rest,25,1.5,121.05
read the reviews,25,1.5,121.05
read the rules,25,1.5,121.05
read the script,25,1.5,121.05
read the shit,25,1.5,121.05
read the signs,25,1.5,121.05
read the spoilers,25,1.5,121.05
read the thread,25,1.5,121.05
read the title,25,1.5,121.05
read the tweet,25,1.5,121.05
read the tweet before,25,1.5,121.05
read the tweet before that,25,1.5,121.05
read the tweets,25,1.5,121.05
read the whole,25,1.5,121.05
read the whole thing,25,1.5,121.05
read their,25,1.5,121.05
read their statuses,25,1.5,121.05
read their tweets,25,1.5,121.05
read them again,25,1.5,121.05
read them all,25,1.5,121.05
read them everyday,25,1.5,121.05
read them lol,25,1.5,121.05
read them tweets,25,1.5,121.05
read these,25,1.5,121.05
read these books,25,1.5,121.05
read these tweets,25,1.5,121.05
read this again,25,1.5,121.05
read this and,25,1.5,121.05
read this and thought,25,1.5,121.05
read this article,25,1.5,121.05
read this book,25,1.5,121.05
read this chapter,25,1.5,121.05
read this first,25,1.5,121.05
read this haha,25,1.5,121.05
read this http,25,1.5,121.05
read this i thought it said,25,1.5,121.05
read this lol,25,1.5,121.05
read this message,25,1.5,121.05
read this message again,25,1.5,121.05
read this post,25,1.5,121.05
read this story,25,1.5,121.05
read this today,25,1.5,121.05
read this too,25,1.5,121.05
read this tweet,25,1.5,121.05
read this tweet and,25,1.5,121.05
read this white paper,25,1.5,121.05
read those books,25,1.5,121.05
read those tweets,25,1.5,121.05
read through it,25,1.5,121.05
read thru,25,1.5,121.05
read tweets,25,1.5,121.05
read twitter,25,1.5,121.05
read two,25,1.5,121.05
read two chapters of,25,1.5,121.05
read ur,25,1.5,121.05
read ur bio,25,1.5,121.05
read ur book,25,1.5,121.05
read ur text,25,1.5,121.05
read ur tweet,25,1.5,121.05
read ur tweets,25,1.5,121.05
read what i said,25,1.5,121.05
read what i say,25,1.5,121.05
read what i wrote,25,1.5,121.05
read what you,25,1.5,121.05
read what you wrote,25,1.5,121.05
