PHYS_ACT_PHRASE,Category,METs,calPerHour_METxWtInKGxTimeInHrs
ate all the pizza,35,1.5,121.05
ate alot,35,1.5,121.05
ate alot today,35,1.5,121.05
ate an,35,1.5,121.05
ate an apple,35,1.5,121.05
ate an entire,35,1.5,121.05
ate an entire bag of,35,1.5,121.05
ate an entire box of,35,1.5,121.05
ate an entire pizza,35,1.5,121.05
ate at,35,1.5,121.05
ate at least,35,1.5,121.05
ate at like,35,1.5,121.05
ate at the,35,1.5,121.05
ate b,35,1.5,121.05
ate bacon,35,1.5,121.05
ate before i came,35,1.5,121.05
ate before i left,35,1.5,121.05
ate breakfast,35,1.5,121.05
ate breakfast at,35,1.5,121.05
ate breakfast this morning,35,1.5,121.05
ate breakfast today,35,1.5,121.05
ate burger king,35,1.5,121.05
ate cake,35,1.5,121.05
ate cereal,35,1.5,121.05
ate cheese,35,1.5,121.05
ate chicken,35,1.5,121.05
ate chinese,35,1.5,121.05
ate chinese food,35,1.5,121.05
ate chipotle,35,1.5,121.05
ate chips,35,1.5,121.05
ate chocolate,35,1.5,121.05
ate cookies,35,1.5,121.05
ate dinner,35,1.5,121.05
ate dinner at,35,1.5,121.05
ate earlier,35,1.5,121.05
ate eggs,35,1.5,121.05
ate em,35,1.5,121.05
ate em all,35,1.5,121.05
ate enough,35,1.5,121.05
ate everything,35,1.5,121.05
ate fast food,35,1.5,121.05
ate five guys,35,1.5,121.05
ate food,35,1.5,121.05
ate good,35,1.5,121.05
ate good af,35,1.5,121.05
ate good today,35,1.5,121.05
ate good tonight,35,1.5,121.05
ate gud,35,1.5,121.05
ate half,35,1.5,121.05
ate half a,35,1.5,121.05
ate half a bag of,35,1.5,121.05
ate half a pizza,35,1.5,121.05
ate half of,35,1.5,121.05
ate here,35,1.5,121.05
ate here before,35,1.5,121.05
ate ice cream,35,1.5,121.05
ate icecream,35,1.5,121.05
ate it all,35,1.5,121.05
ate it anyway,35,1.5,121.05
ate it before,35,1.5,121.05
ate it in,35,1.5,121.05
ate it too fast,35,1.5,121.05
ate jack in,35,1.5,121.05
ate kfc,35,1.5,121.05
ate last,35,1.5,121.05
ate last night,35,1.5,121.05
ate like a fatass,35,1.5,121.05
ate like a king,35,1.5,121.05
ate like a pig,35,1.5,121.05
ate like an hour ago,35,1.5,121.05
ate lunch,35,1.5,121.05
ate lunch at,35,1.5,121.05
ate lunch today,35,1.5,121.05
ate mcdonald's,35,1.5,121.05
ate mcdonalds,35,1.5,121.05
ate meat,35,1.5,121.05
ate more,35,1.5,121.05
ate my,35,1.5,121.05
ate my body weight,35,1.5,121.05
ate my breakfast,35,1.5,121.05
ate my candy,35,1.5,121.05
ate my chicken,35,1.5,121.05
ate my chips,35,1.5,121.05
ate my dinner,35,1.5,121.05
ate my food,35,1.5,121.05
ate my ice cream,35,1.5,121.05
ate my lunch,35,1.5,121.05
ate my pizza,35,1.5,121.05
ate my weight,35,1.5,121.05
ate my weight in,35,1.5,121.05
ate noodles,35,1.5,121.05
ate now,35,1.5,121.05
ate once today,35,1.5,121.05
ate one,35,1.5,121.05
ate one time today,35,1.5,121.05
ate outside,35,1.5,121.05
ate pizza,35,1.5,121.05
ate pizza rolls,35,1.5,121.05
ate popcorn,35,1.5,121.05
ate ramen,35,1.5,121.05
ate real good,35,1.5,121.05
ate so,35,1.5,121.05
ate so good,35,1.5,121.05
ate so much,35,1.5,121.05
ate so much food,35,1.5,121.05
ate so much food today,35,1.5,121.05
ate so much last night,35,1.5,121.05
ate so much today,35,1.5,121.05
ate so much tonight,35,1.5,121.05
ate so much yesterday,35,1.5,121.05
ate some,35,1.5,121.05
ate some bacon,35,1.5,121.05
ate some bomb,35,1.5,121.05
ate some bomb ass,35,1.5,121.05
ate some breakfast,35,1.5,121.05
ate some cereal,35,1.5,121.05
ate some chicken,35,1.5,121.05
ate some cookies,35,1.5,121.05
ate some food,35,1.5,121.05
ate some good ass food,35,1.5,121.05
ate some good food,35,1.5,121.05
ate some noodles,35,1.5,121.05
ate some pancakes,35,1.5,121.05
ate some pizza,35,1.5,121.05
ate some taco bell,35,1.5,121.05
ate some tacos,35,1.5,121.05
ate something,35,1.5,121.05
ate sonic,35,1.5,121.05
ate soo much,35,1.5,121.05
ate soooo much,35,1.5,121.05
ate spaghetti,35,1.5,121.05
ate steak,35,1.5,121.05
ate subway,35,1.5,121.05
ate sum,35,1.5,121.05
ate sushi,35,1.5,121.05
ate taco bell,35,1.5,121.05
ate tacos,35,1.5,121.05
ate that,35,1.5,121.05
ate that much,35,1.5,121.05
ate that pizza,35,1.5,121.05
ate that too,35,1.5,121.05
ate the apple,35,1.5,121.05
ate the box,35,1.5,121.05
ate the cake,35,1.5,121.05
ate the cookie,35,1.5,121.05
ate the last,35,1.5,121.05
ate the last piece,35,1.5,121.05
ate the most,35,1.5,121.05
ate the other one,35,1.5,121.05
ate the pizza,35,1.5,121.05
ate the rest,35,1.5,121.05
ate the whole,35,1.5,121.05
ate the whole bag,35,1.5,121.05
ate the whole box,35,1.5,121.05
ate the whole box of,35,1.5,121.05
ate the whole thing,35,1.5,121.05
ate them,35,1.5,121.05
ate them all,35,1.5,121.05
ate them lol,35,1.5,121.05
ate there,35,1.5,121.05
ate there before,35,1.5,121.05
ate tho,35,1.5,121.05
ate those,35,1.5,121.05
ate though,35,1.5,121.05
ate today,35,1.5,121.05
ate today was some,35,1.5,121.05
ate together,35,1.5,121.05
ate tonight,35,1.5,121.05
ate too,35,1.5,121.05
ate too damn much,35,1.5,121.05
ate too fast,35,1.5,121.05
ate too many cookies,35,1.5,121.05
ate too much,35,1.5,121.05
ate too much candy,35,1.5,121.05
ate too much food,35,1.5,121.05
ate too much pizza,35,1.5,121.05
ate too much today,35,1.5,121.05
ate toooo much,35,1.5,121.05
ate twice,35,1.5,121.05
ate two,35,1.5,121.05
ate two bowls of,35,1.5,121.05
ate up,35,1.5,121.05
ate way,35,1.5,121.05
ate way too,35,1.5,121.05
ate way too much,35,1.5,121.05
ate way too much food,35,1.5,121.05
ate way too much today,35,1.5,121.05
ate wayy too much,35,1.5,121.05
ate wayyyy too much,35,1.5,121.05
ate wings,35,1.5,121.05
ate yesterday,35,1.5,121.05
ate yet,35,1.5,121.05
attempt to clean my room,9,3.3,266.31
attempt to cook,10,3.5,282.45
attempt to eat,35,1.5,121.05
attempt to eat something,35,1.5,121.05
attempting to clean,9,3.3,266.31
attempting to cook,10,3.5,282.45
attempting to eat,35,1.5,121.05
attempting to pack,9,2.3,185.61
attending church,40,1.8,145.26
autism walk,37,4.3,347.01
awake watching,16,1.3,104.91
awesome place to eat,35,1.5,121.05
awesome run,33,11.8,952.26
awkwardly sitting,22,1.3,104.91
awkwardly standing,23,1.3,104.91
awkwardly standing there,23,1.3,104.91
aye watch this,16,1.3,104.91
baby shower shopping,13,2.3,185.61
babysit,17,2,161.4
babysit again,17,2,161.4
babysit all,17,2,161.4
babysit at,17,2,161.4
babysit everyday,17,2,161.4
babysit for,17,2,161.4
babysit friday,17,2,161.4
babysit from,17,2,161.4
babysit her,17,2,161.4
babysit her kids,17,2,161.4
babysit him,17,2,161.4
babysit lol,17,2,161.4
babysit my,17,2,161.4
babysit my nephew,17,2,161.4
babysit them,17,2,161.4
babysit till,17,2,161.4
babysit today,17,2,161.4
babysit tomorrow,17,2,161.4
babysit tonight,17,2,161.4
babysit too,17,2,161.4
babysit until,17,2,161.4
babysiting,17,2,161.4
babysitt,17,2,161.4
babysitten,17,2,161.4
babysittin,17,2,161.4
babysittin http,17,2,161.4
babysittin on,17,2,161.4
babysittin',17,2,161.4
babysitting,17,2,161.4
babysitting a,17,2,161.4
babysitting again,17,2,161.4
babysitting all,17,2,161.4
babysitting all day,17,2,161.4
babysitting all weekend,17,2,161.4
babysitting and,17,2,161.4
babysitting at,17,2,161.4
babysitting duty,17,2,161.4
babysitting for,17,2,161.4
babysitting for the night,17,2,161.4
babysitting from,17,2,161.4
babysitting her,17,2,161.4
babysitting him,17,2,161.4
babysitting instead,17,2,161.4
babysitting job,17,2,161.4
babysitting kids,17,2,161.4
babysitting later,17,2,161.4
babysitting my,17,2,161.4
babysitting my brother,17,2,161.4
babysitting my little,17,2,161.4
babysitting my nephew,17,2,161.4
babysitting my niece,17,2,161.4
babysitting right now,17,2,161.4
babysitting since,17,2,161.4
babysitting the,17,2,161.4
babysitting them,17,2,161.4
babysitting these kids,17,2,161.4
babysitting this,17,2,161.4
babysitting til,17,2,161.4
babysitting till,17,2,161.4
babysitting time,17,2,161.4
babysitting today,17,2,161.4
babysitting tomorrow,17,2,161.4
babysitting tonight,17,2,161.4
babysitting until,17,2,161.4
babysitting with,17,2,161.4
babysittinq,17,2,161.4
backpacking,38,7,564.9
backpacking trip,38,7,564.9
backyard basketball,36,6.5,524.55
backyard football,36,8,645.6
bag packed,9,2.3,185.61
bagging groceries,12,2.3,185.61
bags are packed,9,2.3,185.61
bags packed,9,2.3,185.61
baking and cooking,10,3.5,282.45
ball room dancing,7,5.5,443.85
ballet and,7,5,403.5
ballet class,7,5,403.5
ballet for,7,5,403.5
ballet school,7,5,403.5
ballet time,7,5,403.5
ballet today,7,5,403.5
ballet w,7,5,403.5
ballroom dance,7,3,242.1
ballroom dancing,7,5.5,443.85
banana boating,39,1.3,104.91
bargain shopping,13,2.3,185.61
barn dance,7,4.5,363.15
basic river kayak class,39,5,403.5
basketball anyone,36,6.5,524.55
basketball class,36,6.5,524.55
basketball conditioning,36,6.5,524.55
basketball practice,36,6.5,524.55
basketball practice at,36,6.5,524.55
basketball practice tonight,36,6.5,524.55
basketball sesh,36,6.5,524.55
basketball today,36,6.5,524.55
basketball tomorrow,36,6.5,524.55
basketball training,36,6.5,524.55
basketball try outs,36,6.5,524.55
basketball tryouts,36,6.5,524.55
basketball tryouts today,36,6.5,524.55
basketball tryouts tomorrow,36,6.5,524.55
basketball with me,36,6.5,524.55
basketball workouts,36,6.5,524.55
basketball yesterday,36,6.5,524.55
basketballtraining,36,6.5,524.55
bass fishin,8,3.5,282.45
bass fishing,8,3.5,282.45
bath or shower,34,2,161.4
bathroom clean,9,3.5,282.45
bathroom cleaned,9,3.5,282.45
bathroom is clean,9,3.5,282.45
bbl shower flow,34,2,161.4
bbl shower time,34,2,161.4
bday shopping,13,2.3,185.61
be on the phone,25,1.5,121.05
be on the phone all night,25,1.5,121.05
be on the phone for,25,1.5,121.05
be on the phone w,25,1.5,121.05
beach boardwalk,37,3.5,282.45
beach run,33,11.8,952.26
beach walk,37,3.5,282.45
beach walk http,37,3.5,282.45
bear hunt,8,6,484.2
bear hunting,8,6,484.2
beat me in basketball,36,6.5,524.55
beautiful day for golf,36,4.8,387.36
beautiful day for some football,36,8,645.6
beautiful morning for a run,33,11.8,952.26
beautiful morning for a walk,37,3.5,282.45
beautiful morning for golf,36,4.8,387.36
beautiful night for a walk,37,3.5,282.45
because i was watching,16,1.3,104.91
because i'm watching,16,1.3,104.91
bed and eat,35,1.5,121.05
bed and watch movies,16,1,80.7
bed and watch movies all day,16,1,80.7
bed and watch tv,16,1,80.7
bed and watching,16,1,80.7
bed watching,16,1,80.7
bed watching a movie,16,1,80.7
bed watching harry potter,16,1,80.7
bed watching movies,16,1,80.7
bed watching movies all day,16,1,80.7
bed watching tv,16,1,80.7
bed watching tv http,16,1,80.7
bedtime reading,25,1.5,121.05
been doing is eating,35,1.5,121.05
been eating,35,1.5,121.05
been eating all,35,1.5,121.05
been eating all day,35,1.5,121.05
been eating like,35,1.5,121.05
been eating like a,35,1.5,121.05
been eating so much,35,1.5,121.05
been eating too much,35,1.5,121.05
been laying around,21,1.3,104.91
been laying around all day,21,1.3,104.91
been laying down,21,1.3,104.91
been laying down all day,21,1.3,104.91
been laying here,21,1.3,104.91
been laying here for,21,1.3,104.91
been laying in,21,1.3,104.91
been laying in bed,21,1.3,104.91
been laying in bed all day,21,1.3,104.91
been laying in bed for,21,1.3,104.91
been laying in bed since,21,1.3,104.91
been laying in my bed for,21,1.3,104.91
been playing madden,27,1,80.7
been playing ps,27,1,80.7
been sitting,22,1.3,104.91
been sitting at,22,1.3,104.91
been sitting here,22,1.3,104.91
been sitting here for,22,1.3,104.91
been sitting here for an hour,22,1.3,104.91
been sitting here for like,22,1.3,104.91
been sitting in,22,1.3,104.91
been sitting in my,22,1.3,104.91
been sitting in my car,22,1.3,104.91
been sitting in my car for,22,1.3,104.91
been sitting in the,22,1.3,104.91
been sitting in the car,22,1.3,104.91
been sitting in the same,22,1.3,104.91
been sitting in the same spot for,22,1.3,104.91
been sitting in this,22,1.3,104.91
been sitting in this car for,22,1.3,104.91
been sitting in this chair for,22,1.3,104.91
been sitting in traffic for,22,1.3,104.91
been sitting next,22,1.3,104.91
been sitting on,22,1.3,104.91
been sitting on my,22,1.3,104.91
been sitting on the,22,1.3,104.91
been sitting outside,22,1.3,104.91
been sitting there,22,1.3,104.91
been wanting to watch it,16,1.3,104.91
been watching,16,1.3,104.91
been watching football all day,16,1.3,104.91
been watching it all day,16,1.3,104.91
been watching it since,16,1.3,104.91
been watching law,16,1.3,104.91
been watching movies,16,1.3,104.91
been watching movies all,16,1.3,104.91
been watching movies all day,16,1.3,104.91
been watching the,16,1.3,104.91
been watching too much,16,1.3,104.91
beer and bowling,36,3.8,306.66
beer and video games,27,1,80.7
beer shopping,13,2.3,185.61
before church,40,1.8,145.26
before church tonight,40,1.8,145.26
before getting dressed,34,2.5,201.75
before i eat,35,1.5,121.05
before i get in the shower,34,2,161.4
before my shower,34,2,161.4
before we eat,35,1.5,121.05
began a doing aerobics workout,5,6,484.2
began a hiking workout,38,6,484.2
began a kayaking workout,39,5,403.5
began a mountain biking workout,1,8.5,685.95
began a roller skiing,42,9,726.3
began a running workout,33,11.8,952.26
began a walking workout,37,4.3,347.01
beginner hike http,38,6,484.2
being forced to watch the,16,1.3,104.91
being on the phone with you,25,1.5,121.05
belly dance,7,4.5,363.15
belly dance class,7,4.5,363.15
belly dancing,7,4.5,363.15
belly dancing class,7,4.5,363.15
bellydance,7,4.5,363.15
bellydance w,7,4.5,363.15
bellydancing,7,4.5,363.15
besides eat,35,1.5,121.05
best believe ima eat that,35,1.5,121.05
best kind of shopping,13,2.3,185.61
best thing i ever ate,35,1.5,121.05
best thing i've read all day,25,1.5,121.05
best tweet i've read all,25,1.5,121.05
betta eat,35,1.5,121.05
better start packing,9,2.3,185.61
between church and,40,1.8,145.26
bible reading,25,1.5,121.05
bible reading http,25,1.5,121.05
bible reading plan,25,1.5,121.05
bible readings for today,25,1.5,121.05
bicycle path,1,4,322.8
bicycle ride,1,4,322.8
bicycle today,1,4,322.8
bicycling,1,4,322.8
big brother is watching,16,1.3,104.91
bike accident,1,4,322.8
bike across,1,4,322.8
bike again,1,4,322.8
bike around,1,4,322.8
bike back,1,4,322.8
bike back home,1,4,322.8
bike bike bike,1,4,322.8
bike commute,1,4,322.8
bike everywhere,1,4,322.8
bike for,1,4,322.8
bike from,1,4,322.8
bike here,1,4,322.8
bike home,1,4,322.8
bike instead,1,4,322.8
bike out,1,4,322.8
bike over,1,4,322.8
bike park,1,4,322.8
bike path,1,4,322.8
bike path http,1,4,322.8
bike racing,1,12,968.4
bike ride,1,4,322.8
bike ride with,1,4,322.8
bike ride with my,1,4,322.8
bike ride with the,1,4,322.8
bike rides,1,4,322.8
bike ridin,1,4,322.8
bike ridin',1,4,322.8
bike riding,1,4,322.8
bike riding weather,1,4,322.8
bike riding with,1,4,322.8
bike route,1,4,322.8
bike run,1,4,322.8
bike shopping,13,2.3,185.61
bike soon,1,4,322.8
bike tho,1,4,322.8
bike through,1,4,322.8
bike to,1,4,322.8
bike to school,1,4,322.8
bike to work,1,4,322.8
bike to work today,1,4,322.8
bike today,1,4,322.8
bike together,1,4,322.8
bike tomorrow,1,4,322.8
bike tonight,1,4,322.8
bike tour,1,4,322.8
bike trail,1,4,322.8
bike trail http,1,4,322.8
bike trails,1,4,322.8
bike trip,1,4,322.8
bike with,1,4,322.8
bike with no handle bars,1,4,322.8
bike with no handlebars,1,4,322.8
bike with no hands,1,4,322.8
bike yesterday,1,4,322.8
biked,1,4,322.8
biked,1,4,322.8
biked here,1,4,322.8
biked over,1,4,322.8
biked over,1,4,322.8
bikeride,1,4,322.8
biketoberfest,1,4,322.8
bikeway,1,4,322.8
biking,1,4,322.8
biking again,1,4,322.8
biking around,1,4,322.8
biking in,1,4,322.8
biking path,1,4,322.8
biking to,1,4,322.8
biking to work,1,4,322.8
biking to work today,1,4,322.8
biking today,1,4,322.8
biking trip,1,4,322.8
biking weather,1,4,322.8
biking with,1,4,322.8
bikini shopping,13,2.3,185.61
bikram yoga,6,2.5,201.75
binge eat,35,1.5,121.05
binge eating,35,1.5,121.05
bird hunting,8,3.3,266.31
bird walk,37,3.5,282.45
bird watching,16,1.3,104.91
bird watching,38,2.5,201.75
birthday shopping,13,2.3,185.61
birthday shopping for,13,2.3,185.61
bit of shopping,13,2.3,185.61
bitch im tryna eat,35,1.5,121.05
bite to eat,35,1.5,121.05
bite to eat before,35,1.5,121.05
bite to eat with,35,1.5,121.05
black friday shopping,13,2.3,185.61
blackfriday shopping,13,2.3,185.61
blasting music and dancing,7,7.8,629.46
bleach my hair,34,2.5,201.75
bleach my hair again,34,2.5,201.75
bleaching my hair,34,2.5,201.75
blow dried my hair,34,2.5,201.75
blow dry my hair,34,2.5,201.75
blow drying my hair,34,2.5,201.75
blowdry my hair,34,2.5,201.75
blowdrying my hair,34,2.5,201.75
blueberry picking,19,3.5,282.45
board game,26,1.5,121.05
board game night,26,1.5,121.05
board games,26,1.5,121.05
board games and,26,1.5,121.05
board games with,26,1.5,121.05
boardwalk time,37,3.5,282.45
boardwalk tonight,37,3.5,282.45
boat again,39,1.3,104.91
boat cruise,39,1.3,104.91
boat day,39,1.3,104.91
boat in the middle of,39,1.3,104.91
boat out,39,1.3,104.91
boat party,39,1.3,104.91
boat racing,39,1.3,104.91
boat ride,39,1.3,104.91
boat ride http,39,1.3,104.91
boat ride in,39,1.3,104.91
boat slip tea dance,7,7.8,629.46
boat time,39,1.3,104.91
boat today,39,1.3,104.91
boat tomorrow,39,1.3,104.91
boat tonight,39,1.3,104.91
boat tour,39,1.3,104.91
boat trip,39,1.3,104.91
boat with,39,1.3,104.91
