activity,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
"dress for church",0,0,0,1,0,0,0,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"dress shopping",5,6,1,25,1,5,2,0,9,9,0,12,6,4,0,7,4,0,6,7,13,6,2,7,0,0,1,1,6,0,16,9,0,13,1,2,11,2,2,0,2,18,2,0,11,11,0,3,0
"dress shopping for",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"dress shopping for homecoming",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0
"dress shopping today",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dress shopping tomorrow",0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"dress shopping with",0,0,1,4,0,0,0,1,0,2,1,2,1,1,0,0,1,0,2,1,0,0,0,2,0,0,0,0,1,0,3,0,0,0,1,1,0,1,0,0,2,4,2,0,3,3,0,2,0
"dress shopping with my",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0
"dressed for church",2,0,0,2,0,1,0,1,0,3,0,1,2,0,0,0,5,0,1,0,1,0,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2,0,0,2,0,0,3,0,0,0,0
"drink and dance",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"drink and eat",0,0,0,1,0,0,0,0,1,3,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"drink beer and eat",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
"drink water and eat",0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"drinking a beer and watching",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
"drinking a beer in the shower",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"drinking and bowling",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"drinking and eating",0,0,0,2,0,0,0,0,2,0,0,3,1,0,1,0,1,0,0,0,0,0,0,2,0,0,1,0,1,0,2,0,0,0,0,0,0,0,2,0,0,6,0,0,1,1,0,1,0
"drinking and gambling",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"drinking and watching",1,1,1,3,1,0,0,0,0,2,0,4,0,1,0,0,1,0,2,0,1,2,0,0,0,2,0,0,0,0,4,0,0,2,0,1,1,0,0,0,0,2,0,0,4,1,0,1,0
"drinking and watching",1,1,1,3,1,0,0,0,0,2,0,4,0,1,0,0,1,0,2,0,1,2,0,0,0,2,0,0,0,0,4,0,0,2,0,1,1,0,0,0,0,2,0,0,4,1,0,1,0
"drinking beer and eating",0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"drinking beer and eating pizza",0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"drinking beer and watching",1,0,0,0,0,0,0,0,4,2,0,0,0,1,1,0,0,0,1,0,4,1,0,1,0,0,1,1,1,0,2,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"drinking coffee and eating",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"drinking coffee and watching",1,0,2,4,0,0,0,0,5,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,2,2,0,1,1,1,1,0,0,0,2,1,2,0,0,0,0,0,0
"drinking wine and eating",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"drinking wine and watching",0,0,0,1,2,1,0,0,1,2,0,4,2,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,2,0,0,1,1,0,1,0
"drinks and dancing",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"drunk bowling",0,0,0,6,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,3,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
"drunk dancing",0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
"drunk eating",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0
"drunk shopping",0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,1,1,0,1,0
"drunk sledding",0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"drunk swimming",0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dry and straighten my hair",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,1,0
"dry laundry",0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"drying my hair",4,0,1,5,0,1,0,0,1,4,0,1,5,0,0,1,2,0,2,0,1,0,1,0,0,1,0,0,0,0,2,2,0,5,0,0,4,0,2,0,3,1,0,0,3,1,1,0,0
"duck hunt",0,0,3,3,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,1,0,0
"duck huntin",0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"duck hunting",3,1,5,5,0,0,0,0,2,5,0,1,0,0,1,0,7,0,0,1,1,2,2,3,0,1,0,0,0,0,2,3,0,0,1,0,3,0,2,0,4,11,1,0,1,2,0,1,0
"dude sitting next",1,1,0,3,0,0,0,2,0,0,0,3,0,0,1,2,0,0,0,2,1,2,0,1,0,0,0,0,1,0,3,1,0,3,0,0,2,0,2,0,4,4,0,0,2,1,0,0,0
"due for a haircut",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"during church",4,1,1,3,0,1,0,0,3,1,0,1,0,0,1,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,2,2,0,1,1,1,1,0,0,0,1,4,2,0,2,0,1,3,0
"during my run",0,0,0,2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
"dusted",1,0,2,9,0,1,0,1,2,3,1,1,1,0,1,2,2,0,4,2,0,0,0,1,0,0,1,0,0,0,3,3,0,1,0,0,2,0,1,0,4,6,0,0,3,1,0,3,0
"dusting",0,1,0,5,2,0,0,0,2,1,0,2,4,1,0,4,0,0,0,2,2,4,0,1,0,0,0,0,1,0,2,5,0,7,0,0,0,1,0,0,5,3,1,0,3,0,2,0,0
"dye my hair",14,18,5,159,10,18,6,4,57,43,1,45,25,5,11,8,21,0,36,27,43,10,9,9,2,5,21,2,43,6,60,36,2,70,6,9,64,6,15,1,18,124,6,0,37,16,7,17,1
"dye my hair back",1,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0
"dye my hair back black",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"dye my hair back dark",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
"dye my hair back red",1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"dye my hair back to",0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,2,1,0,0,0,0,0,1,0,0,0,0,1,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"dye my hair black",1,2,0,6,1,0,0,0,1,0,0,2,2,0,0,0,0,0,2,3,0,0,0,0,0,0,1,0,0,0,2,0,0,5,0,0,2,0,1,0,0,5,1,0,2,2,0,1,0
"dye my hair black again",1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"dye my hair blonde",1,0,0,3,0,1,1,0,6,2,0,1,1,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,1,2,2,2,0,1,0,0,1,0,0,0,3,5,0,0,4,0,0,1,0
"dye my hair brown",1,0,0,1,0,0,0,0,1,3,0,2,0,0,0,0,0,1,2,1,2,1,0,0,0,0,0,0,2,0,3,6,0,3,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0
"dye my hair red again",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"dye my hair today",0,0,0,5,0,0,0,1,1,3,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0
"dye my hairrr",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"dyed my hair again",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
"dyed my hair black",0,2,0,4,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,1,3,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,2,0,0,0,0,0,0,1
"dyed my hair blonde",0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,3,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"dyed my hair red",3,0,0,5,1,0,0,0,2,0,1,1,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,1,3,0,1,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0
"dyeing my hair",0,0,0,5,1,1,0,0,0,1,0,3,0,0,0,0,0,0,0,1,2,1,0,1,0,0,2,0,5,0,4,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0
"dyin my hair",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
"dying my hair",5,10,8,73,7,14,5,1,32,22,0,24,12,4,7,4,9,2,13,23,27,16,5,11,0,2,8,0,31,6,32,21,0,37,6,2,35,5,6,1,7,66,2,0,25,7,3,11,0
"dying my hair again",0,0,1,5,1,1,0,0,3,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0
"dying my hair back",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,1,0,0,1,0,0,1,0
"dying my hair back to",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0
"dying my hair back to brown",0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"dying my hair black",1,1,0,7,0,2,1,0,1,0,0,0,0,0,1,2,2,0,0,2,1,0,1,0,0,0,2,0,2,0,1,0,1,1,0,0,3,1,0,0,2,4,0,0,1,0,0,1,0
"dying my hair blonde",0,0,0,2,0,3,0,0,2,4,0,1,2,0,0,0,0,1,2,2,1,1,0,0,0,0,0,0,0,0,3,1,0,1,0,0,1,0,2,0,0,5,0,0,0,0,0,0,0
"dying my hair brown",0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0
"dying my hair dark brown",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"dying my hair red",0,0,0,3,2,1,1,0,3,2,0,2,1,1,0,0,2,0,2,0,1,0,1,1,0,0,0,1,0,0,1,3,1,6,0,0,3,0,0,0,0,2,0,0,1,1,0,0,0
"dying my hair red again",0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"dying my hair this week",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"dying my hair this weekend",0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dying my hair today",0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,2,0,0,1,1,0,0,2,1,0,0,0
"dying my hair tomorrow",3,0,0,1,0,2,0,0,0,1,0,1,1,0,0,1,2,0,0,0,1,1,0,2,0,0,1,0,0,0,0,1,0,0,1,0,3,0,0,0,3,4,0,0,1,1,0,0,0
"dying my hair tonight",0,0,0,1,0,1,0,0,1,1,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,2,2,0,1,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0
"early christmas shopping",0,0,0,1,0,1,0,0,3,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,1,0,0,1,0
"early for church",0,0,0,2,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
"early morning run",3,3,0,10,2,0,0,0,8,2,0,3,3,0,0,2,2,0,2,2,1,0,0,1,0,1,1,0,6,0,7,2,0,5,1,1,2,0,0,1,0,5,0,0,3,0,0,1,0
"easier to type",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"easter shopping",2,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"easy hike",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0
"easy run",0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"easy to read",0,0,0,2,0,1,0,0,2,3,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,3,4,1,0,0,1,1,0,0,0,1,4,0,0,0,1,0,0,0
"eat",1125,661,517,4689,360,542,297,311,2546,2408,57,1975,913,322,370,650,1643,90,1607,996,1694,561,911,744,40,209,477,95,1449,152,2324,1713,60,2160,420,290,2088,172,1072,56,1096,4460,252,26,1483,544,264,537,26
"eat a",22,30,14,132,23,25,7,8,64,55,2,61,20,12,11,28,31,3,48,42,48,15,20,23,1,3,19,3,44,5,101,39,3,63,18,11,67,5,27,1,31,127,5,2,48,13,6,24,1
"eat a bag of",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0
"eat a bagel",1,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0
"eat a banana",1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,2,1,2,3,0,1,1,1,0,1,0,1,0,5,0,0,5,2,0,4,0,0,0,1,3,0,0,2,0,0,0,0
"eat a banana and",1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"eat a big mac",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
"eat a bowl of",0,1,0,5,1,0,0,0,1,2,0,3,1,0,0,0,1,0,2,2,3,1,0,0,0,1,1,0,1,0,1,1,0,3,0,1,2,0,3,0,1,2,0,0,1,0,1,0,0
"eat a bowl of cereal",0,0,1,4,0,0,1,0,1,0,0,2,0,0,1,0,2,0,0,0,0,1,1,0,0,0,0,0,1,0,2,2,0,2,0,0,3,0,0,0,1,3,0,0,2,0,1,0,0
"eat a bunch",1,0,0,2,0,3,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,2,0,1,0,0,1,0,2,0,0,1,1,2,0,0
"eat a burger",0,1,1,0,1,0,0,0,1,0,0,3,0,0,1,0,1,0,2,1,1,0,0,1,0,0,0,0,2,0,3,0,0,3,0,1,2,0,0,0,0,3,0,0,1,0,0,2,0
"eat a burrito",0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"eat a cheeseburger",0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0
"eat a cookie",2,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,6,0,0,1,0,0,3,1,0,0,0,0,0,0,2,0,0,0,0
"eat a cube of cheese",1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
"eat a cupcake",0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0
"eat a donut",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"eat a fat",0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"eat a full meal",0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"eat a gallon of ice cream",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"eat a home cooked meal",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"eat a hot dog",0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,2,0
"eat a hot pocket",1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,2,0,0,0,1,0,0,0
"eat a hotdog",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"eat a lot",2,6,2,50,2,12,3,3,19,16,1,15,5,4,4,2,6,1,7,11,9,7,7,12,0,2,3,0,7,2,16,10,0,20,5,6,17,2,4,0,6,47,2,0,13,3,4,10,0
"eat a lot lol",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"eat a meal",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0
"eat a pb",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"eat a pickle",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"eat a piece",0,1,0,0,2,1,0,0,1,2,0,2,0,0,0,2,1,0,1,1,2,1,0,0,0,0,0,0,1,0,2,1,0,0,0,0,4,1,1,0,0,4,0,0,1,1,0,1,0
"eat a pizza",0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"eat a roll of tollhouse",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"eat a salad",2,1,0,5,1,1,0,0,3,1,0,1,1,0,0,0,3,0,0,0,2,0,0,0,0,0,0,1,0,0,3,1,0,1,1,0,2,0,1,0,1,4,1,0,1,0,1,0,0
"eat a sandwich",0,0,0,5,0,1,0,0,2,2,0,2,1,2,1,0,0,0,0,2,1,0,1,2,0,0,0,0,1,0,4,3,0,3,1,1,6,0,1,0,0,4,0,0,1,0,0,0,0
"eat a shit ton",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0
"eat a slice",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
"eat a snack",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"eat a snickers",0,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"eat a steak",1,0,0,1,0,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,3,1,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
